연번,공원명,공원개요,조경/기반시설,운동시설,편의/교양시설,기타시설,이미지,공원주소,전화번호,X좌표(WGS84),Y좌표(WGS84),바로가기
29,경희궁,경희궁(慶熙宮)은 조선 후기의 이궁(離宮)이었다. 1617년(광해군 9)부터 짓기 시작하여 1623년(광해군 15)에 완성 하였다. 경희궁의 처음 명칭은 경덕궁(慶德宮)이었으나 원종의 시호인 경덕(敬德)과 같은 발음이라 하여 1760년(영조 36) 경희궁으로 바뀌었다. 경희궁은 도성의 서쪽에 있다고 하여 서궐(西闕)이라고도 불렀는데 이는 창덕궁과 창경궁을 합하여 동궐(東闕)이 라고 불렀던 것과 대비되는 별칭이다. 인조 이후 철종에 이르기까지 10대에 걸쳐 임금들이 경희궁에 머물렀는데 특히 영조는 치세의 절반을 이곳에서 보냈다. 경희궁에는 정전인 숭정전을 비롯하여 편전인 자정전 침전인 융복전 회상전 등 100여 동의 크고 작은 건물이 있었다. 그러나 일제가 대한제국을 강점하면서 경희궁은 수난의 역사를 맞이하였다. 1910년 일본인 학교였던 경성중학교가 들어서면서 대부분의 궁궐 건물이 헐려 나갔고 그 면적도 절반 정도로 축소되어 궁궐의 모습을 잃어버렸다. 서울특별시에서는 경희궁지에 대한 발굴을 거쳐 숭정전 등 정전 지역을 복원하여 2002년부터 시민들에게 공개하고 있다. ,-,-,"자정전, 흥화문, 숭정전 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1918,서울특별시 종로구 새문안로 55(신문로2가 2-1),02-2148-2842,126.9685341,37.570773,
30,국립서울현충원,"동작구 동작동에 위치한 국립현충원은 국가와 민족을 위해 희생하신 순국선열과 호국영령들이 잠들어 있는 국립묘지이다. 2026년 현재 국립서울현충원에는 국가원수, 독립유공자 등 200,935분을 안장하고 있다.",충성분수대 ,-,"현충탑, 현충관, 호국전시관, 충열대, 무명용사 봉안실, 제1?2충혼당 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1919,"서울특별시 동작구 현충로 210(동작동, 국립서울현충원)",02-1522-1555,126.9736849,37.4998621,1. 국문 : https://www.mvpa.go.kr/snmb/www/index.do2. 영문 : https://www.mvpa.go.kr/snmb/en/index.do3. 중국어 간체 : https://www.mvpa.go.kr/snmb/cn/index.do4. 중국어 번체 : https://www.mvpa.go.kr/snmb/zh/index.do5. 일문 : https://www.mvpa.go.kr/snmb/jp/index.do
31,계남근린공원,휴식공간 양천구 신정동과 구로구 고척동 일대의 옛지명인 부평군 계남면의 지명을 따서 계남공원으로 명명되었으며 계남은 계양산의 남쪽에 위치하였다는 뜻으로 전해진다. 계남공원내 정랑고개는 양천구청에서 금옥여중 고등학교로 넘어가는 고개를 말한다. 정확한 이름과 유래는 알 수가 없으나 사람들은 이 고개를 정릉 정랑 정녕 등으로 제각기 부르고 있다. 옛날 장안에서 인천까지 걸어가는 지름길로서 넘은 첫고개이며 그 옆은 성넘어라 부르고 있다. 그런데 사람들은 정랑고개가 옛날 신기(신트리)마을 근처에 있다하여『신트리고개』라고 부르는 사람도 있다.,생태연결통로 ,"다목적구장(실내 배드민턴장), 각종 운동시설(게이트볼장, 족구장) ","장군정, 야외무대, 약수터, 화장실 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1920,서울특별시 양천구 신정동 산44-2일대,02-2620-3576,126.8479643,37.5138358,
32,고척근린공원,1988년 12월에 조성한 구로구의 유일한 종합공원으로 도서관 체육센터 경로당 축구장 테니스장 배드민턴장 광장 야외무대 시설이 있으며 연평균 50000명이 이용하고 있다.   공원 전체 면적 중 약 25000㎡가 임야 상태로 보존되어 있고 산책로 주변에는 운동시설이 있으며 고척도서관은 1988년 12월에 개관하여 176000권의 장서와 864개 좌석을 보유하고 운영 중에 있다. 또한 1993년 12월에 개원한 구로구민체육센터는 실내 수영장 체력단련장 에어로빅장 체육관 등을 갖추고 지역주민들의 건강증진과 생활체육 활성화 공간으로 이용하고 있다. ,"어린이놀이터, 조깅트랙 ","배드민턴장, 테니스장, 운동장, 구민체육센터, 운동기구, 농구장 ",도서관 ,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1921,서울특별시 구로구 고척로45길 39(고척공원),02-860-2396,126.8521495,37.5042944,
33,파리근린공원,프랑스와 수교 100주년이 되는 1986년에 기념 사업의 하나로 파리에 서울광장을 서울에 파리광장을 각각 조성하기로 하고 이에 목동 신시가지의 제2근린공원을 파리공원으로 조성하여 공원 일부를 파리광장으로 꾸몄다. 파리공원은 상징성과 편익성을 갖춘 공원이다. 주요시설로는 서울광장 연못 파리광장이 있고 한국과 프랑스가 어우러지는 개념으로 한불마당을 조성하였다. 서울광장에는 삼태극문양으로 바닥을 포장하고 벽화 및 벽천을 설치하였다. 파리광장은 프랑스 양식의 무늬화단을 조성하여 기념광장의 특성을 살리고 계절에 따라 다양한 화초를 심어 경관 조성 및 교육적 효과를 연출하고 있다.,"분수(벽천, 무지개 분수, 곡사분수, 바닥분수), 자수화단 ",각종 운동시설(건강라운지) ,"야외무대, 모형 에펠탑 ",관리사무소(화장실) ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1922,서울특별시 양천구 목동동로 363 ,02-2620-3576,126.8763932,37.5349739,
34,허준공원,공원 주위에는 서울 기념물 제11호인 허가바위가 있고 공원 내에는 전설이 깃든 광주바위와 허준 선생이 앉아서 병자를 진료하는 인자한 모습의 동상 그리고 호수 정자 어린이 놀이 시설이 있으며 인근 주민들의 휴식공간으로 이용되고 있다. 또한 주변에 허준박물관과 한강시민공원이 있어 인근 주민들에게 많은 사랑을 받고 있다. 그리고 7월부터 10월까지 건강 약초교실이 매주 일요일 2시부터 5시까지 운영되어 한방비누 만들기 등 다양한 한방체험을 할 수 있다.,연못 ,-,"정자, 어린이 놀이 시설, 허준 동상, 음악분수 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1923,서울특별시 강서구 허준로5길 42,02-2600-4186,126.8526745,37.5679874,
35,궁동근린공원,서대문구 연희동 산 118번지 일대에 있는 산지형 근린공원으로서 연접 연희 시범아파트가 노후되어 아파트 10개동을 철거하고 공원 및 실내체육관을 조성하였다. 인왕산에서 안산으로 이어진 산줄기는 안산 서쪽으로 서대문구청을 감싸고 모래내의 남쪽으로 연하여 연희 1동의 104.3m 봉우리 등을 형성하고 있으며 「대동여지도」에 보면 104고지 지맥 남쪽에 옛 연희궁(衍禧宮)이 표시되어 있다. 궁동공원과 연접한 이른바 104고지라고 불리우는 이곳은 6.25전쟁 중 인천상륙작전 후 서울수복을 위한 격전지로 유명하며 성산 회관 뒷길로 50m쯤 올라가면 '海兵隊一0四高地戰績碑'라고 새겨진 기념비가 새워져 있다.,"파고라, 도로, 산책로 ",실내체육관 ,"정자, 평의자 ","종합안내판, 초화류안내판 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1924,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,02-330-1965,126.9229851,37.5690506,
36,궁산근린공원,궁산은 파산 성산 관산 진산 등 다양한 명칭이 있으며 옛날 백제의 양천 고성지와 조선시대 화가인 ‘겸재 정선’이 양천 현감으로 재임하며 그림을 그렸던 소악루 양천 향교가 위치하고 있다. 궁산은 임진왜란 때 의병들의 집결장소였으며 한국전쟁 때도 국군이 주둔했던 군사적으로 중요한 전략 요충지였다. 그리고 자연생태가 다양한 탐방코스를 걸으며 숲해설가로부터 숲 속의 식물 곤충 동물 등 생태해설을 들으며 자연놀이도 즐길 수 있는 자연체험교실이 7월부터 12월까지 매월 넷째 주 토요일 오전 10시부터 12시까지 궁산에서 운영되고 있어 지역주민들로부터 많은 호응을 받고 있다.,자연학습탐방로 ,-,"소악루, 양천고성지, 양천향교, 사진촬영전망대 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1925,서울특별시 강서구 가양동 산4-7,02-2600-4185,126.838952,37.5735645,
37,까치산근린공원,옛날에 수목이 우거지고 까치가 많다고 붙여진 까치고개가 있어 까치산공원으로 명명하였으며 2005년 6월 도로 개설로 인해 끊어졌던 공원에 2개의 아치형 생태 다리가 세워져 관악산까지 산책로가 연결되어있다. ,-,-,임당 정공 신도비 ,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1926,서울특별시 동작구 사당동 산32,02-820-1385,126.9640735,37.4845836,
38,꿩고개근린공원,공원개요 꿩고개공원은 자연환경이 뛰어나지만 지형?경사 등 제반 여건이 시설 설치에 많은 제약을 주고 있다. 또 인접한 방화근린공원은 이용 중심 공원으로 다양한 시설을 갖추고 있다. 따라서 꿩고개 공원은 이용 중심으로 조성하기보다는 생태적으로 최소한의 시설을 설치하고 기존의 생물종을 보호하기 위한 생물 서식 공간 및 소동물 이용 통로 등을 조성하는 방향으로 추진할 계획이다. 일부 산림이 훼손된 지역에 게이트 볼장과 정자 등을 신설하여 인근 주민들이 운동과 휴식을 함께 할 수 있도록 하였으며 지압로 건강 체육시설 약수터음수전 등 건강을 위한 다양한 시설도 이용할 수 있다.,지압로 ,게이트볼장 ,"정자, 약수터음수전 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1927,서울특별시 강서구 방화동 산110,02-2600-4186,126.8157075,37.5801585,
39,노량진공원,"대방동 아파트 숲 사이에 위치한 노량진공원은 1940년 공원으로 지정되었으며, 다목적운동장, 테니스장, 배드민턴장, 조깅트랙 등의 운동시설 및 인공폭포, 공군충혼탑, 오솔길, 화장실, 주차장 등이 있어 생활체육과 여가를 즐길 수 있는 공원이다.","조깅트랙, 산책로 ","다목적운동장, 장애인운동시설, 테니스장 ",공군충혼탑 ,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1928,서울특별시 동작구 대방동 519(여의대방로44길 39),02-820-1383,126.927319,37.507396,
40,답십리근린공원,이 지역 지명에 따라 명명하였으며 1998년 조성이래 많은 시민들의 소중한 쉼터로 자리매김하고 있다. 답십리 명칭의 유래에 대해서는 여러 가지 전설이 있는데 조선 왕조 초기 무학대사가 왕도를 정하려고 이곳을 밟은 데서 유래했다는 설과 도성 즉 동대문으로부터 십 리 떨어진 거리에 있어 붙여진 것이라는 설도 있고 들이 넓어 답십리라 붙여졌다는 설 왕이 일년에 한차례씩 농민들의 고통을 체험하고자 논둑을 밟으며 모내기를 하였다는 것에서 지어진 것이라는 설 등이 있는데 어느 것이 정설인지는 확실하지 않다. 다양한 체육시설 골프연습장과 종합체육시설을 비롯하여 배드민턴장 등 각종 체력단련시설이 설치되어 건강 증진을 위한 시설들이 조성되어 있고 문화와 관련한 다양한 프로그램이 진행되고 있으며 구름다리로 연결된 숲 속의 산책로는 주민들에게 편안한 휴식처를 제공하고 있다.,그늘시렁 ,"종합체육시설, 배드민턴장 ","휴게소, 문화회관 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1929,서울특별시 동대문구 답십리로 209(답십리공원) ,02-2127-4772,127.0626512,37.507396,
41,대모산도시자연공원,국수봉이라고도 불렸던 높이 293m의 나지막한 산으로 산 모양이 늙은 할미와 같다 하여 할미산으로 불리다가 태종의 헌릉을 모신 후 어명으로 대모산으로 고쳤다고 한다. 예부터 전해 내려오는 구전에 의하면 산 모양이 여승의 앉은 모습과 같다 하는 설과 여자의 앞가슴 모양과 같다 하여 대모산이라는 설이 있으며 이 산에는 불국사(약사절)를 비롯하여 수질 좋은 약수터가 있고 산 입구에는 각종 희귀 나무로 가꾸어진 자연 학습장이 있어 학생들의 야외 교육장 및 주민들의 산책로로 사랑받고 있다.,편익시설 ,다목적 운동장 ,"화장실, 약수터 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1930,서울특별시 강남구 광평로10길 30-71(대모산공원) ,02-3423-6283,127.0809639,37.4796489,
42,탑골근린공원,사적 제354호로 서울 최초의 근대 공원이다. 조선 세조 13년에 원각사로 건립하였던 것을 고종 34년인 1897년 도지부 고문인 영국인 브라운에 의해 공원으로 조성되어 1920년에 공원으로 개원하였다. 1919년 3. 1 운동의 발상지로 처음으로 독립 선언문을 낭독하고 독립만세를 외친 우리민족의 독립 정신이 살아 숨쉬는 유서 깊은 곳이다. 1992년 5월 28일 공원 명칭을 파고다공원에서 탑골공원으로 개정하여 오늘에 이르고 있다. 주요 시설로는 독립운동 봉화에 불을 당겼던 팔각정을 중심으로 국보 제2호인 원각사지 10층 석탑 국보 제3호인 원각사비 등의 문화재와 3.1운동 기념탑 3.1운동 벽화 의암 손병희 선생의 동상 한용운 선생 기념비 등이 있다. 2001년 3월1일부터 탑골공원 재정비 사업을 추진 2002년 3월2일에 완료하였으며 총 19억 원의 예산을 투입하여 우물을 복원하고 손병희 선생 동상 및 3.1운동 기념탑을 기념광장으로 옮기는 등 시설물을 재배치하여 복잡한 공간형태를 단순화함과 함께 공간에 질서를 부여하여 사적지다운 경건한 분위기를 느낄 수 있도록 했다.,우물 ,-,"원각사지10층석탑, 팔각정, 3.1운동기념탑, 손병희선생 동상, 한용운선생 기념비, 편의시설 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1931,서울특별시 종로구 종로 99,02-2148-2843,126.9882853,37.5710052,
43,갈산근린공원,용왕산의 동쪽 능선 끝이 안양천에 닿아 있는데 이 안양천을 따라 남쪽으로 내려가서 구로구와의 경계지점에 이르면 칼산의 능선을 만나게 된다. 양천구에 있는 산들은 대체로 산세가 둥근편 인데 비해 칼산은 안양천의 오랜 침식작용으로 인해 동쪽 부분은 벼랑처럼 깎여 길게 급경사를 이루고 있는데 산정상이 칼날처럼 형성되었다 하여 ′칼산′이라고 부른다. - 칼산이란 이름은 자연 형태 그대로 우리말로 표현된 산 이름입니다. 용왕산과 칼산은 안양천을 따라 양천동편 좌우로 마주보고 있기에 양천을 수호(守護)하는 관문처럼 한 쪽에는용왕이 또 다른 쪽에는 칼로써 수문장(守門將)이 되어 양천을 지키는 형상이라 하겠다. 그러나 최근 칼산이라는 명칭이 부르기에 섬뜩하고 혐오스럽다는 의견으로 인해 지역 공공시설과 동일한 '갈산'으로 개정되었다. - 주변에 차량기지창과 신정제2유수지가 있고 목동 신시가지 아파트가 가까워 도심속의 근린공원으로 자리잡고 있어 인근 주민들의 산책로로 이용되고 있다.,"어린이놀이터, 중심광장 ","멀티코트장, 각종 운동시설 ","갈산정, 교통교육관 및 전시물, 교통안전교육 체험장, 전망대 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1932,서울특별시 양천구 신정동 162-56,02-2620-3576,126.8689146,37.5082119,
44,천마근린공원,조선조 병자호란때 임경업 장군이 개롱리에서 갑옷을 입고 투구봉에서 투구를 쓴 후 마산(천마산)에서 나온 용마를 타고 싸움에 출전하였다고 전해진다. 천마산은 송파구 마천동 산 1번지 1호 마천동과 하남시 사이에 위치하고 있으며 등산코스에는 150개의 계단이 설치되어 있고 최근에는 이용객의 안전을 위한 난간을 추가로 설치하였고 산 정상에서는 마천동과 거여동은 물론 송파구 일대가 한눈에 들어와 전망이 뛰어나고 씨랜드 화재사고로 희생된 어린이들의 넋을 달래고 사고방지를 위하여 어린이 안전교육장이 설치되어 있다.,어린이안전공원 ,"축구장, 배드민턴장, 체력단련장 ",-,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1936,서울특별시 송파구 마천동 산 1-1,02-400-0978,127.1586644,37.5005173,
45,도곡근린공원,도곡공원은 산지형 공원으로 논현로 도곡동 길 언주로 남부순환로에 둘러싸여 있고 사방으로 산책로가 있어 접근이 용이하다. 산책로를 따라 배드민턴장 문화 전시공간 다목적운동장 휴식공간 체력단련시설들이 어우러져있어 인근 지역주민들의 건강증진 및 체력단련에 많은 도움을 주고 있다. 공원 남쪽으로는 아파트 단지들이 있으며 북쪽으로는 학교와 병원 등이 위치해 있다.,-,"배드민턴장, 다목적 운동장 ","약수터, 화장실, 정자 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1937,서울특별시 강남구 도곡동 산31-1,02-3423-6248,127.0450338,37.4903127,
46,도산근린공원,도산공원은 1973. 11. 10 망우리 공동묘지에 안장되어 있던 도산 안창호 선생의 묘소를 이장하여 부인 이혜련 여사와 함께 합장하면서 개원하게 되었다. 공원 내에는 도산 선생 기념물로 동상 어록비 비문 해설기 등이 설치되어 있으며 매년 3월 10일 이곳에서 흥사단 및 도산기념사업회 주관으로 도산 선생 추모 기념행사가 열린다. ,그늘시렁 ,운동시설 ,"도산묘소, 동상, 도산기념관, 화장실 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1938,서울특별시 강남구 도산대로45길 20(도산공원),02-3423-6244,127.0350296,37.5246752,
47,청량공원,성북구와 동대문구에 위치한 청량근린공원은 홍릉 및 의릉이 있어 대부분의 면적이 문화재보호구역으로 지정되어있다. 많은 부분이 보호구역인 만큼 사람이 손길이 닿지 않아 자연환경이 아름다우며 정상에서는 북한산 수락산 오동근린공원 등이 한눈에 들어온다. 공원 내에는 어르신이 운동을 할 수 있는 어르신 건강마당이 있어 다양한 운동기구와 치매 예방을 위한 기구가 설치되어 있다. 공원 인접에는 성북구 정보도서관이 있어 청소년 등이 공부하며 정서를 함양할 수 있는 최상의 역할을 하고 있다. 성북구에서는 문화재청과 협의하여 문화재구역 일부를 개방하여 의릉 ~ 돌뫼어린이공원 ~ 성북정보도서관을 연결하는 환상의 산책로를 조성하였다. ,"진입광장, 휴식광장, 입구연못, 파고라, 조경수원, 목교, 야외학습장 ",건강마당 ,"전망테크, 산림종합전시관, 도서관, 공연장 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1939,서울특별시 성북구 화랑로18가길 50,02-2241-3683,127.0511145,37.6020055,
48,초안산근린공원,초안산은 114.1m 봉우리를 중심으로 북서쪽 도봉구 창동(면적:673166㎡) 남동쪽은 노원구 월계동(면적:950643㎡) 일대에 걸쳐 있으며 1971년 8월 6일 건설부 고시 제465호로 공원으로 지정되었고 1997년 10월 30일 공원 명칭이 월계공원에서 초안산공원으로 바뀌었다. 동쪽 기슭 월계 2동 766번지 일대를 능골 또는 능동이라 부르는데 조선 명종 때 청백리였던 이명의 묘와 신도비가 있기 때문이다. 그리고 이명 신도비 옆에는 예안 이씨의 전통가옥이 보존되어 있다. 5만 평 정도의 나지막한 야산인 초안산은 114.1m 봉우리와 102.5m 봉우리 사이에 약 100기의 조선시대 내시들 무덤이 있으며 현재는 배드민턴장과 각종 체육시설이 갖추어져 있고 남쪽으로는 약수터가 있어 인근 주민의 휴식처가 되고 있다. ,"잔디광장, 계류, 생태연못, 녹지대, 산책로 ",생활체육시설 ,음수대 ,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1940,서울특별시 도봉구 창동 산157,02-2091-3754,127.0455446,37.648316,
49,동명근린공원,"동명근린공원은 북으로 고덕산과 한강이 흐르고 남동쪽으로도 크고 작은 산이 있어 서울의 여타 지역보다 맑은 공기를 마시며 뛰어놀 수 있고 심신을 단련할 수 있는 장소이다. 주요 시설로는 축구장, 족구장, 배드민턴장, 농구장이 있어 지역주민에게 다양한 생활체육 및 여가활동의 기회를 제공하고 있다. 축구장은 현재 동명근린공원 공영주차장 건립공사로 인해 임시 폐쇄 상태이며 2026년 6월 재개장할 예정이다. ",-,"축구장, 족구장, 배구장, 배드민턴장, 농구장 ",-,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1911,서울특별시 강동구 고덕2동 229,02-3425-8820,127.1676703,37.5598341,
50,마로니에공원,마로니에 공원은 대학로 옆 옛 서울대학교 문리대 법대자리에 위치한 넓이 5802㎡로써 문예회관 및 대학로 길거리에 작품들이 전시되어 있어 꿈과 낭만이 어린 문화예술의 거리로 독특한 분위기를 자아내고 있다. 또한 공원내에는 야외무대가 마련되어 음악콘서트 무용 연극등이 수시로 열리며 곳곳에 젊은이들의 만남의 광장 대화의 장소로 인기가 매우 높다. 2002월드컵축구대회때는 마로니에공원과 대학로에서 많은 인파속에 열렬히 응원했던 장소로도 유명하다.  인근에는 성균관대 성신여대 한성대학 등이 위치해 있고 현재는 많은 다양한 계층의 사람들이 이용하는 곳으로 탈바꿈되었다. 특히 공원내 심어져 있는 마로니에 나무는 웅장한 고목으로 공원의 상징 기념수로 알려져 있다.,조합놀이대 ,-,"야외무대, 분수대 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1941,서울특별시 종로구 대학로8길 1,02-2148-2843,127.0027886,37.5802295,
51,자매근린공원, 앙카라공원이라고도 하며 1971년 8월 23일 서울시와 터어키 앙카라시의 자매결연 체결을 기념하기 위하여 터어키의 풍물이 담긴 주제공원으로 조성하여 1977년 5월 1일에 개원하였다. 이보다 앞서 1973년 10월 앙카라시에도 10000㎡규모의 한국공원을 조성하여 개원한 바 있다.,"조형물, 파고라 ","배드민턴장, 게이트볼장 ","앙카라하우스, 화장실 ",관리실 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1942,서울특별시 영등포구 의사당대로 166 (우) 07324,02-2670-3764,126.9302895,37.5177329,
52,장지근린공원,군부대가 위치해 있던 미시설 공원을 2003년도에 일부 구간에 한하여 개미?투구봉?체육동산으로 구분하여 공원을 조성하였다. 삼림욕장의 기능을 하는 산책로와 주민건강을 위한 각종 운동기구 배드민턴 게이트볼장 등 다양한 체육시설과 휴식공간을 갖추어 많은 주민들이 즐겨 찾고 있다.,휴게광장 ,"체력단련장, 배드민턴장 ",-,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1943,서울특별시 송파구 장지동 산 11번지,02-400-0978,127.1387,37.4957083,
53,명일근린공원,"일자산 북쪽에 위치한 명일공원은 서울시에서도 쉽게 찾아보기 힘든 대규모의 공원이다. 나지막한 산에 숲이 우거져있어 훌륭한 산책코스로 주민들에게 사랑받고 있다. 상일동 산 26번지 일대에는 야생화 단지, 생태연못, 어린이 놀이터, 벽천, 분수 등이 조성되었으며 상일동산이라고도 불리는 이곳은 다양한 모습을 보이며 휴식처로서 제 역할을 다하고 있다. ","생태연못, 바닥분수, 계류, 벽천, 어린이놀이터, 돌무더기 ",-,초가정자 ,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1944,서울특별시 강동구 상일동 135,02-3425-6445,127.1613641,37.5537143,
54,방화근린공원,방화공원은 사시사철 꽃향기가 퍼지는 개화산 옆에 있는 동네라는 뜻인 방화동의 이름에서 따온 것으로 1990년 12월에 공원으로 지정되어 방화 택지 개발지구 개발과 함께 공원으로 조성되었다. 공원 내에는 다목적운동장을 비롯한 체육시설과 더불어 원형광장 연못 분수대 물레방아 등이 설치되어 있다. 또한 공원의 산책로 곳곳에 파고라 휴게소 등 휴식공간과 녹지공간이 어우러져 있다.  산책로를 따라 벚꽃나무 등 각종 수목들이 식재되어 있으며 울창한 산림으로 둘러싸인 개화산과 꿩고개공원에 인접하고 있어 가족단위의 피크닉 장소로도 알맞은 곳이다. 여름철에는 연못의 분수대가 정취를 더하며 겨울에는 원형광장에 얼음썰매장을 개장해 인근 어린이들의 놀이공간으로 활용되고 있다. 공원 산책로와 연결된 등산로를 따라 개화산을 오르면 군데군데 운동시설과 약수터가 있으며 정상에 오르면 유명한 약사 사절이 있고 한강과 김포 쪽 평야가 한눈에 내려다보인다.,"원형광장, 연못, 분수대, 어린이놀이터, 산책로, 파고라 ","다목적운동장, 체육시설 ",휴게소 ,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1848,서울특별시 강서구 금낭화로 176(방화공원),02-2600-4186,126.8132285,37.5819812,
55,아시아근린공원,아시아공원은 1986년 아시안 게임을 대비하여 선수촌 및 기자촌 아파트 단지 건립과 함께 조성된 곳으로 서울종합운동장 등 각종 경기시설이 인접해 있다. 소나무 대추나무 등 다양한 나무 및 꽃들로 가득찬 넓은 녹지공간에 「자연과 빛」조형물 야외공연무대 시와 그림의 광장 송파문화예술회관 부리도(浮里島) 기념비 등이 자리 잡고 있어 주민 문화공간과 휴식공간으로 널리 활용되고 있다 문화예술회관에서는 지역문화사업을 계획?보급함으로써 애향심과 구민 일체감을 조성하여 다채로운 문화행사와 교양강좌 개최로 주민의 문화적 참여 기회를 확대하고 문화예술진흥에 기여하는 문화 휴식공간으로 널리 활용되고 있다.,시와 그림의 광장 ,-,"송파문화예술회관, 야외공연장, 부리도 기념비 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1849,서울특별시 송파구 올림픽로 44 (잠실동),02-412-0270,127.0762885,37.5102779,
56,배봉산근린공원,공원이 부족한 동대문구의 유일한 산지형 공원이면서 상징공원으로 군부대가 주둔하고 높이 15~20m의 절개지에 대규모 암반이 노출되어 있던 곳을 1992년에 공원으로 조성하였다. 공원 내 50년 넘게 공원경관을 저해하던 위생 병원 담장을 철거하고 그 자리에 야생화 단지 생태연못 지압보도 등을 설치하여 자연학습장을 및 주민 휴식공간으로 조성하였다. 그밖에 어린이 놀이터 및 야외공연장 각종 운동시설 4km의 산책로가 있어 지역주민의 생활문화 향상 및 여가생활의 장으로 활용되고 있으며 부족한 녹지공간 확보를 위해 기존 공원과 중랑천 제방을 연계한 녹지 순환길을 조성하고자 배봉산근린공원 내 산책로를 보완 정비하고 중랑천 길과 연계한 보도 육교를 연결하여 명실공히 동대문구의 체계화된 중심공원으로 거듭나고 있다. 매년 5월에 구민 걷기대회가 열리고 또한 사생대회 문화 관련 음악행사 체조교실 등 다양한 이용 프로그램을 진행하고 있어 공원 이용이 활성화된 곳이다. ,"인공폭포, 어린이놀이터, 산책로, 자연학습장 ",체육시설 ,"야외무대, 약수터 ",관리사무실 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1850,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,02-2127-4772,127.0641623,37.5812324,
57,안산도시자연공원,해발 295.9m의 안산은 인왕산에서 서쪽으로 비스듬히 뻗어 무악재를 이루고 솟은 산이다. 길마재의 다른 이름인 무악재는 모악재로 부르기도 하였으며 조선왕조가 개창 되어 도읍을 한양으로 옮기면서 무악은 궁궐의 주산(主山)으로 주목되기도 하였다. 식생은 연희동 지역인 서 남측 연희동 지역은 자작 산벚 물푸레 잣나무 등 1990년도부터 환경림으로 양호한 수림을 형성하고 있으며 북동부 암반지역은 왜소한 소나무 산정부 일대는 팥배 상수리 오리나무가 분포하고 남동 측 임야는 대규모 아까시나무 군락을 형성하고 있다.,"조합놀이대, 만남의광장, 산책로, 연희숲속쉼터(잔디마당, 숲속쉼터허브원, 습지, 계류시설), 안산자락길, 데크로드 ",-,"팔각정자, 야외탁자, 화장실, 약수터, 홍제천 수변마당 ","관리사무소, 공원등, 안내판 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1851,서울특별시 서대문구 홍제동 산33-98,02-330-1965,126.9390273,37.5798246,
58,염창근린공원,서울특별시 강서구 염창동 주민들의 휴식처인 염창공원은 한강조망이 아주 뛰어난 공원이다. 염창산에 관련된 옛 고전에는 염창산이 증산으로 표기되어 있다. 원래 이름은 ‘일찍 증(曾)’ 자가 아닌 ‘건질 증(拯)’ 자이며 그 유래는 곡식을 실어오던 세곡선(稅穀船)이 강화만을 통해 거슬러와 용산으로 가던 도중 이곳 염창산에서 자주 좌초되었는데 이때 곡식을 건지는 사람들이 모여 살았다 하여 증미(拯米)산이라 했고 이 말이 줄어 증산(拯山)이 되었다. 증산 아래에는 한양으로 들어 갈 소금창고가 있었던 관계로 오늘날 염창산(鹽倉山)이라 불리게 되었다.,-,"골프연습장, 스포츠센타 ",-,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1852,서울특별시 강서구 염창동 산24-1,02-2600-4186,126.8689817,37.5579702,
